T_BASE_SENSITIVEWORDS_ID,SENSITIVETYPE,SENSITIVEWORDS
16,色情,逼奸
37,色情,成人电影
44,色情,成人片
50,色情,成人论坛
51,色情,成人色情
52,色情,成人网站
53,色情,成人文学
54,色情,成人小说
138,色情,轮奸
148,色情,迷奸
174,色情,情色
209,色情,色情网站
317,色情,淫亵
442,色情,强奸
445,色情,发生关系
495,色情,迷幻药
508,色情,迷药
518,色情,色情表演
520,色情,色情服务
521,色情,色情图片
522,色情,色情小说
523,色情,色情影片
524,色情,色情表演
525,色情,色情电影
526,色情,色情服务
569,色情,morphine
570,毒品,摇头丸
571,毒品,迷药
572,毒品,乖乖粉
573,毒品,narcotic
574,毒品,麻醉药
575,毒品,精神药品
930,反动,腐败
964,反动,贪污腐败
966,反动,形式主义
967,反动,政治风波
985,反动,双规
991,反动,官商勾结
992,反动,城管暴力执法
993,反动,强制捐款
1050,反动,群体事件
1051,反动,群体性事件
1054,反动,讨说法
1055,反动,请愿
1056,反动,请命
1057,反动,公开信
1058,反动,联名上书
1061,反动,截访
1062,反动,上访
1064,反动,信访
1065,反动,访民
1066,反动,集合
1067,反动,集会
1068,反动,组织集体
1072,反动,示威
1074,反动,游行
1081,反动,反共
1082,反动,抗议
1084,反动,抵制
1091,反动,血书
1094,反动,流血冲突
1095,反动,出现暴动
1096,反动,发生暴动
1097,反动,引起暴动
1098,反动,暴动
1101,反动,罢工
1103,反动,罢考
1104,反动,罢餐
1110,反动,罢课
1114,反动,罢教
1115,反动,罢学
1149,反动,学潮
1182,反动,当局严密封锁
1183,反动,新闻封锁
1184,反动,封锁消息
1187,反动,网络封锁
1190,反动,无界浏览
1191,反动,无界网络
1197,反动,境外媒体
1214,反动,反分裂
1215,反动,威胁论
1216,反动,左翼联盟
1219,反动,主权
1260,反动,颜色革命
1261,反动,规模冲突
1262,反动,塔利班
1264,反动,恐怖分子
1265,反动,恐怖份子
1290,反动,台独
1337,反动,疆独
1348,反动,达赖
1355,反动,西独
1356,反动,藏独
